abbreviation	name	brainspan	gtex	roadmap	user
A1C	priamry auditory cortex	A1C			
ACC	anterior cingulate cortex		Anterior cingulate cortex	Cingulate Gyrus	
AMY	amygdala	AMY	Amygdala		
ANG	angular gyrus			Angular Gyrus	
BS	brainstem				
CAU	caudate		Caudate (basal ganglia)	Anterior Caudate	
CB	cerebellum	CBC	Cerebellum	Cerebellum	
DFC	dorsolateral prefrontal cortex	DFC		Mid Frontal Lobe	
FCX	frontal cortex		Frontal Cortex		
HIP	hippocampus	HIP	Hippocampus	Hippocampus Middle	
HTH	hypothalamus		Hypothalamus		
IPC	inferior parietal cortex	IPC			
ITC	inferior temporal cortex	ITC		Inferior Temporal Lobe	
M1C	primary motor cortex	M1C			
MED	medulla oblongata				
MFC	anterior (rostral) cingulate (medial prefrontal) cortex	MFC			
OCX	occipital cortex				
OFC	orbital frontal cortex	OFC			
PCX	parietal cortex				
PIT	pituitary gland				
PUT	putamen		Putamen (basal ganglia)		
PON	pons				
S1C	primary somatosensory cortex	S1C			
SN	substantia nigra		Substantia nigra	Substantia Nigra	
STC	posterior (caudal) superior temporal cortex	STC			
STR	striatum	STR			
TCX	temporal cortex				
THA	thalamus	MD			
V1C	primary visual cortex	V1C			
VFC	ventrolateral prefrontal cortex	VFC			
